Date,Open,Close,High,Low,Volume
2017-03-02,24.00,24.48,26.05,23.50,217048865
2017-03-03,26.39,27.09,29.44,26.06,148166400
2017-03-06,28.17,23.77,28.25,23.77,72902994
2017-03-07,22.21,21.44,22.50,20.64,71857792
2017-03-08,22.03,22.81,23.43,21.31,49819124
2017-03-09,23.15,22.71,23.68,22.51,25784390
2017-03-10,23.36,22.07,23.40,22.00,18335512
2017-03-13,22.05,21.09,22.15,20.96,20591486
2017-03-14,20.90,20.58,20.98,20.15,20019135
2017-03-15,20.08,20.77,21.40,20.05,24980443
2017-03-16,20.65,19.89,20.69,19.75,25600417
2017-03-17,19.80,19.54,19.85,18.90,34234410
2017-03-20,19.94,19.93,20.43,19.72,20999100
2017-03-21,20.04,20.38,20.54,19.55,20044655
2017-03-22,20.65,21.82,22.25,20.52,47499782
2017-03-23,22.69,23.13,23.30,22.22,40630421
2017-03-24,23.05,22.74,23.10,22.34,17254257
2017-03-27,23.09,23.83,24.40,22.60,48362445
2017-03-28,23.31,22.21,23.36,22.17,49822475
2017-03-29,21.77,22.55,22.71,21.33,31447158
2017-03-30,22.55,22.23,22.85,22.00,17086929
2017-03-31,22.05,22.53,22.62,22.00,15076059
2017-04-03,22.70,22.35,22.90,22.11,12510882
2017-04-04,22.21,22.14,22.67,21.88,16312471
2017-04-05,22.15,20.70,22.22,20.67,26076415
2017-04-06,20.76,20.57,20.76,20.03,21926437
2017-04-07,20.68,20.82,21.08,20.60,10577896
2017-04-10,21.09,20.97,21.27,20.70,8627883
2017-04-11,21.01,20.70,21.20,20.34,13309477
2017-04-12,20.70,20.22,20.83,20.18,9353253
2017-04-13,20.20,20.19,20.37,19.81,13596521
2017-04-17,20.09,19.94,20.21,19.80,11711458
2017-04-18,19.83,20.55,20.89,19.73,15960224
2017-04-19,20.50,20.62,20.91,20.41,8734082
2017-04-20,20.63,21.15,21.26,20.62,10021307
2017-04-21,21.37,20.93,21.49,20.71,7741570
2017-04-24,21.20,21.20,21.30,21.01,5926923
2017-04-25,21.08,21.34,21.40,20.56,9586121
2017-04-26,21.25,21.58,21.65,21.08,10134569
2017-04-27,21.58,22.01,22.12,21.58,10757821
2017-04-28,22.05,22.55,22.59,22.01,9031325
2017-05-01,22.66,22.21,22.84,22.11,7949695
2017-05-02,22.37,21.99,22.37,21.75,8134647
2017-05-03,21.80,21.82,22.21,21.63,7065156
2017-05-04,22.18,22.59,23.22,21.90,19000906
2017-05-05,23.08,23.19,23.25,22.51,12823314
2017-05-08,23.17,22.46,23.57,22.23,18083957
2017-05-09,22.70,23.32,23.44,22.68,17920865
2017-05-10,23.11,22.98,23.32,22.87,46910032
2017-05-11,17.96,18.05,18.90,17.59,131814559
2017-05-12,18.44,19.14,19.48,18.16,68923978
2017-05-15,19.57,20.74,20.95,19.49,69780587
2017-05-16,20.54,20.78,20.88,20.15,40930222
2017-05-17,20.56,19.90,20.59,19.69,29207963
2017-05-18,19.86,20.27,20.58,19.86,15975415
2017-05-19,20.42,20.00,20.64,19.93,18950922
2017-05-22,20.14,20.08,20.34,20.01,9145201
2017-05-23,20.14,20.03,20.30,19.90,8236843
2017-05-24,20.20,20.53,20.62,20.00,13794907
2017-05-25,20.16,21.93,21.94,20.11,24314755
2017-05-26,21.66,21.22,21.70,21.07,13371199
2017-05-30,21.30,21.45,21.58,21.01,9505811
2017-05-31,21.50,21.21,21.75,21.09,9497168
2017-06-01,21.32,21.34,21.45,21.19,7143025
2017-06-02,21.34,21.09,21.45,21.00,9587762
2017-06-05,20.52,20.21,20.89,20.14,15213498
2017-06-06,20.22,20.36,20.44,20.13,6665519
2017-06-07,20.37,19.56,20.49,19.45,16953461
2017-06-08,19.40,18.85,19.40,18.18,32635938
2017-06-09,18.41,18.08,18.46,17.88,31111232
2017-06-12,18.05,18.20,18.43,17.56,16167969
2017-06-13,18.38,18.10,18.58,18.08,11891722
2017-06-14,18.25,17.88,18.29,17.76,9454549
2017-06-15,17.72,17.00,17.75,17.00,22954519
2017-06-16,17.14,17.54,17.88,17.00,18945255
2017-06-19,17.85,17.88,18.34,17.03,28855882
2017-06-20,17.82,17.31,17.89,17.23,13955955
2017-06-21,17.27,17.27,17.43,17.13,8691193
2017-06-22,17.45,17.64,17.80,17.21,9871656
2017-06-23,17.82,17.54,17.82,17.47,7081582
2017-06-26,17.70,17.29,17.73,17.23,9865551
2017-06-27,17.21,17.34,17.48,17.20,7718316
2017-06-28,17.34,17.76,17.78,17.33,10455374
2017-06-29,17.69,17.89,18.13,17.67,12187935
2017-06-30,18.03,17.77,18.08,17.62,5987649
2017-07-03,17.91,17.59,17.92,17.45,3285663
2017-07-05,17.57,17.32,17.59,17.22,6040009
2017-07-06,17.25,17.31,17.38,17.24,6185566
2017-07-07,17.33,17.18,17.38,17.15,4540576
2017-07-10,17.16,16.99,17.21,16.95,8563854
2017-07-11,16.33,15.47,16.36,15.44,41899716
2017-07-12,15.54,15.24,15.75,15.21,19515292
2017-07-13,15.78,15.69,15.97,15.56,21584891
2017-07-14,15.44,15.27,15.59,15.27,14639186
2017-07-17,15.30,15.13,15.43,15.12,13275861
2017-07-18,15.17,14.73,15.25,14.63,19916988
2017-07-19,14.86,14.97,15.24,14.80,14385541
2017-07-20,15.05,14.89,15.14,14.72,11857941
2017-07-21,14.80,14.48,14.84,14.34,14224273
2017-07-24,14.45,14.08,14.48,14.02,14757548
2017-07-25,14.06,13.89,14.11,13.65,15148063
2017-07-26,13.74,13.40,13.82,13.40,21582447
2017-07-27,13.15,14.00,14.10,13.14,27157121
2017-07-28,13.90,13.81,14.03,13.50,16734274
2017-07-31,13.42,13.67,13.98,13.10,48950131
2017-08-01,13.77,13.10,13.77,13.07,27620837
2017-08-02,13.22,12.65,13.25,12.52,25281001
2017-08-03,12.65,12.93,13.15,11.91,61519577
2017-08-04,13.17,13.52,13.70,12.83,53066112
2017-08-07,13.86,13.39,14.06,13.24,34018985
2017-08-08,13.28,13.02,13.29,12.82,30022418
2017-08-09,12.96,13.56,13.65,12.78,26821751
2017-08-10,13.58,13.77,13.96,13.26,57445584
2017-08-11,12.00,11.83,12.34,11.77,83835685
2017-08-14,11.49,12.60,13.14,11.28,84766443
2017-08-15,13.05,12.74,13.30,12.66,43512368
2017-08-16,12.50,13.12,13.25,12.48,33247781
2017-08-17,12.95,13.35,13.50,12.95,36175158
2017-08-18,13.30,14.01,14.25,13.26,46179578
2017-08-21,14.27,13.58,14.59,13.35,44252425
2017-08-22,13.85,14.53,14.56,13.81,38072521
2017-08-23,14.55,15.09,15.13,14.38,65721439
2017-08-24,15.24,14.53,15.34,14.43,30650839
2017-08-25,14.62,14.78,14.85,14.45,23037321
2017-08-28,14.80,15.19,15.26,14.77,27987447
2017-08-29,15.05,14.99,15.31,14.88,20694844
2017-08-30,14.92,14.96,15.11,14.76,22472705
2017-08-31,14.98,14.51,15.05,14.51,23072521
2017-09-01,14.50,14.27,14.50,14.01,26052194
2017-09-05,14.28,14.49,14.57,14.08,21338337
2017-09-06,14.42,14.50,14.54,14.17,23116996
2017-09-07,14.43,15.15,15.58,14.40,45541614
2017-09-08,15.17,15.34,15.80,15.10,36574838
2017-09-11,15.25,15.27,15.57,14.89,32988157
2017-09-12,15.25,15.13,15.75,15.01,48936763
2017-09-13,15.20,15.03,15.33,14.86,24115114
2017-09-14,14.95,14.91,15.18,14.82,16319624
2017-09-15,14.99,15.25,15.31,14.93,34139792
2017-09-18,15.32,14.92,15.33,14.81,20927871
2017-09-19,14.90,14.72,14.90,14.46,23442870
2017-09-20,14.68,14.16,14.70,14.05,24851727
2017-09-21,13.99,13.77,14.11,13.51,25228886
2017-09-22,13.72,13.70,13.92,13.62,12302255
2017-09-25,13.50,13.22,13.51,13.07,18437821
2017-09-26,13.33,13.91,13.98,13.30,20062261
2017-09-27,14.00,14.12,14.25,13.83,16664413
2017-09-28,14.20,14.45,14.59,13.97,17557111
2017-09-29,14.43,14.54,14.70,14.30,20577391
2017-10-02,14.60,14.88,15.04,14.41,21211436
2017-10-03,14.87,14.64,15.10,14.59,16729928
2017-10-04,14.84,14.53,14.90,14.35,15684260
2017-10-05,14.30,14.48,14.56,14.10,13148754
2017-10-06,14.38,14.79,14.84,14.32,11939437
2017-10-09,14.81,14.71,14.92,14.67,9183338
2017-10-10,14.71,14.34,14.87,14.32,13775068
2017-10-11,14.64,15.98,15.98,14.47,40908094
2017-10-12,16.07,16.55,16.86,15.82,63193078
2017-10-13,16.48,16.50,16.88,16.22,24513431
2017-10-16,16.68,16.07,16.73,15.91,20894928
2017-10-17,16.29,16.09,16.61,16.05,15090970
2017-10-18,16.30,15.75,16.35,15.69,18329969
2017-10-19,15.47,15.25,15.59,15.18,19244600
2017-10-20,15.39,15.56,15.57,15.21,12876979
2017-10-23,15.58,14.97,15.69,14.89,19585379
2017-10-24,14.87,14.59,15.08,14.58,15448258
2017-10-25,14.70,14.16,14.93,13.96,22943880
2017-10-26,14.35,14.39,14.76,14.11,17071219
2017-10-27,14.27,15.44,15.48,14.22,23767576
2017-10-30,15.13,15.68,16.27,15.05,23657796
2017-10-31,15.65,15.34,15.73,15.17,13008916
2017-11-01,15.45,14.51,15.52,14.39,20443841
2017-11-02,14.45,14.55,14.87,14.40,11810548
2017-11-03,14.64,15.27,15.28,14.60,12784357
2017-11-06,15.19,14.83,15.29,14.80,17736885
2017-11-07,14.87,15.12,15.53,14.73,40978251
2017-11-08,13.47,12.91,14.09,12.10,162744709
2017-11-09,12.64,12.38,12.74,12.23,51695840
2017-11-10,12.50,12.76,12.84,12.31,32141043
2017-11-13,12.83,12.40,12.95,12.35,19251268
2017-11-14,12.41,12.57,12.70,12.25,13962597
2017-11-15,12.32,12.46,12.75,12.17,14410375
2017-11-16,12.50,12.56,12.68,12.38,15701689
2017-11-17,12.60,12.99,13.01,12.51,17563767
2017-11-20,13.10,12.41,13.11,12.29,30676066
2017-11-21,12.52,12.34,12.59,12.32,19010319
2017-11-22,12.35,12.62,12.64,12.35,14022076
2017-11-24,12.67,12.97,13.02,12.67,12772779
2017-11-27,12.87,13.06,13.38,12.86,19341806
2017-11-28,13.37,13.61,13.74,13.02,23774060
2017-11-29,13.54,13.70,13.99,13.25,30098478
2017-11-30,13.41,13.78,14.00,13.36,26854988
2017-12-01,13.67,13.87,13.90,13.41,19266925
2017-12-04,13.95,13.57,14.00,13.09,28799237
2017-12-05,14.40,14.94,15.10,14.02,51515768
2017-12-06,14.58,14.60,15.05,14.36,25883088
2017-12-07,14.65,14.70,14.77,14.28,16367100
2017-12-08,14.64,15.07,15.14,14.59,20226087
2017-12-11,15.14,16.22,16.31,15.07,34900125
2017-12-12,16.00,15.93,16.12,15.53,22254326
2017-12-13,15.80,15.96,16.18,15.79,14183714
2017-12-14,15.92,16.04,16.45,15.76,24942473
2017-12-15,16.00,15.75,16.04,15.63,19450444
2017-12-18,15.95,16.10,16.37,15.93,20227811
2017-12-19,15.91,15.77,16.04,15.65,12419194
2017-12-20,15.69,15.50,15.89,15.47,10167284
2017-12-21,15.33,15.37,15.68,15.20,12107131
2017-12-22,15.05,15.15,15.38,14.92,12087059
2017-12-26,15.02,15.01,15.13,14.84,6755329
2017-12-27,14.83,14.84,15.05,14.83,6726173
2017-12-28,14.82,14.85,15.06,14.77,8072901
2017-12-29,14.84,14.61,14.89,14.55,9518403
2018-01-02,14.69,14.95,15.01,14.61,9970989
2018-01-03,15.00,15.31,15.38,14.72,15921429
2018-01-04,14.76,14.59,15.00,14.27,27231995
2018-01-05,14.51,14.50,14.75,14.38,18828045
2018-01-08,14.21,14.06,14.28,13.58,27033592
2018-01-09,14.15,14.10,14.28,14.01,14929119
2018-01-10,14.07,14.65,14.67,13.92,14725775
2018-01-11,14.58,14.60,14.93,14.48,12497491
2018-01-12,14.17,14.11,14.32,13.92,21011262
2018-01-16,14.11,13.50,14.11,13.40,26654386
2018-01-17,13.61,13.52,13.82,13.35,14576964
2018-01-18,13.66,14.01,14.02,13.62,16316872
2018-01-19,14.01,14.04,14.24,13.82,16123860
2018-01-22,13.92,14.17,14.20,13.67,12479737
2018-01-23,14.19,14.25,14.67,14.13,13418836
2018-01-24,14.31,14.44,14.77,14.28,11979574
2018-01-25,14.28,13.71,14.30,13.70,23551647
2018-01-26,13.75,13.56,13.79,13.43,17366168
