Date,Open,Close,High,Low,Volume
2019-12-06,14.86,14.74,14.95,14.70,11223678
2019-12-09,14.64,14.23,14.89,14.21,20272418
2019-12-10,14.23,14.09,14.33,13.97,20385733
2019-12-11,14.01,14.23,14.25,13.96,11705627
2019-12-12,14.16,14.45,14.47,14.07,16450799
2019-12-13,14.75,15.09,15.19,14.58,27837454
2019-12-16,15.21,15.11,15.24,14.85,27311109
2019-12-17,15.10,15.10,15.42,15.05,23302878
2019-12-18,15.07,15.11,15.39,15.06,16838355
2019-12-19,15.05,15.46,15.47,15.00,21127027
2019-12-20,15.54,15.55,15.74,15.29,24978375
2019-12-23,15.55,15.49,15.59,15.23,19972575
2019-12-24,15.53,15.61,15.65,15.39,8907875
2019-12-26,15.60,15.97,16.18,15.50,22710032
2019-12-27,16.08,16.03,16.18,15.78,15000091
2019-12-30,16.05,15.89,16.17,15.68,15615250
2019-12-31,15.78,16.33,16.35,15.77,18055249
2020-01-02,16.62,16.78,16.95,16.46,26030811
2020-01-03,16.43,16.75,17.10,16.35,19671763
2020-01-06,16.65,16.78,16.78,16.41,338977



