Date,Open,Close,High,Low,Volume
2019-10-07,14.47,14.47,14.68,14.34,21590975
2019-10-08,14.30,14.15,14.59,14.05,23736528
2019-10-09,14.30,14.21,14.33,14.04,15560115
2019-10-10,14.19,14.08,14.38,14.01,15524722
2019-10-11,14.24,14.16,14.57,14.10,27746480
2019-10-14,14.19,13.76,14.22,13.64,20694392
2019-10-15,13.87,14.09,14.15,13.86,22110784
2019-10-16,14.02,13.67,14.04,13.62,22875460
2019-10-17,13.73,13.78,14.12,13.69,21096490
2019-10-18,14.15,13.52,14.28,13.42,39057300
2019-10-21,13.76,14.58,14.63,13.73,45431543
2019-10-22,15.00,14.00,15.03,13.91,84611238
2019-10-23,13.91,13.18,14.38,12.93,112851367
2019-10-24,13.18,13.52,13.65,12.71,54563108
2019-10-25,13.41,13.96,14.01,13.32,28339759
2019-10-28,14.04,14.68,14.73,14.01,37665903
2019-10-29,14.50,14.64,14.95,14.37,21062538
2019-10-30,14.71,14.86,14.90,14.43,19134644
2019-10-31,14.82,15.06,15.17,14.55,21633739
2019-11-01,15.09,15.18,15.38,14.93,19915881
2019-11-04,15.31,15.35,15.38,15.15,17392660
2019-11-05,15.32,14.83,15.35,14.81,18667043
2019-11-06,14.87,14.41,14.88,14.23,23041331
2019-11-07,14.41,14.16,14.70,14.14,17196476
2019-11-08,14.18,14.19,14.52,14.09,14253176
2019-11-11,14.13,14.39,14.41,13.96,13129984
2019-11-12,14.38,14.38,14.64,14.32,13020959
2019-11-13,14.38,14.47,14.64,14.34,8472354
2019-11-14,14.42,14.37,14.59,14.21,16352590
2019-11-15,14.48,13.94,14.60,13.50,33510296
2019-11-18,14.08,14.69,14.74,14.04,33326636
2019-11-19,14.58,15.16,15.26,14.39,24848960
2019-11-20,15.07,15.31,15.52,15.01,21039055
2019-11-21,15.33,15.08,15.63,15.06,21572404
2019-11-22,15.18,15.26,15.50,15.01,20997304
2019-11-25,15.59,15.50,15.90,15.49,25680682
2019-11-26,15.46,15.46,15.55,15.16,20548404
2019-11-27,15.53,15.35,15.53,15.23,11531678
2019-11-29,15.23,15.25,15.36,15.19,6311184
2019-12-02,15.25,14.60,15.28,14.54,25337287
2019-12-03,14.22,14.92,14.98,14.16,19249866
2019-12-04,14.99,15.00,15.08,14.81,11210520
2019-12-05,15.05,14.68,15.16,14.66,11987612
2019-12-06,14.86,14.74,14.95,14.70,11223678
2019-12-09,14.64,14.23,14.89,14.21,20272418
2019-12-10,14.23,14.09,14.33,13.97,20385733
2019-12-11,14.01,14.23,14.25,13.96,11705627
2019-12-12,14.16,14.45,14.47,14.07,16450799
2019-12-13,14.75,15.09,15.19,14.58,27837454
2019-12-16,15.21,15.11,15.24,14.85,27311109
2019-12-17,15.10,15.10,15.42,15.05,23302878
2019-12-18,15.07,15.11,15.39,15.06,16838355
2019-12-19,15.05,15.46,15.47,15.00,21127027
2019-12-20,15.54,15.55,15.74,15.29,24978375
2019-12-23,15.55,15.49,15.59,15.23,19972575
2019-12-24,15.53,15.61,15.65,15.39,8907875
2019-12-26,15.60,15.97,16.18,15.50,22710032
2019-12-27,16.08,16.03,16.18,15.78,15000091
2019-12-30,16.05,15.89,16.17,15.68,15615250
2019-12-31,15.78,16.33,16.35,15.77,18055249
2020-01-02,16.62,16.78,16.95,16.46,26030811
2020-01-03,16.43,16.75,17.10,16.35,19671763
2020-01-06,16.65,16.78,16.78,16.41,338977

