Date,Open,Close,High,Low,Volume
"2019-12-30 09:30:00",16.05,15.97,16.17,15.88,1576170
"2019-12-30 09:45:00",15.97,15.84,15.98,15.73,1457261
"2019-12-30 10:00:00",15.83,15.76,15.90,15.76,794967
"2019-12-30 10:15:00",15.76,15.74,15.80,15.68,988481
"2019-12-30 10:30:00",15.74,15.85,15.86,15.73,577454
"2019-12-30 10:45:00",15.85,15.80,15.88,15.80,678473
"2019-12-30 11:00:00",15.80,15.82,15.83,15.76,844308
"2019-12-30 11:15:00",15.81,15.87,15.88,15.81,503961
"2019-12-30 11:30:00",15.87,15.88,15.88,15.84,523389
"2019-12-30 11:45:00",15.88,15.91,15.93,15.87,453759
"2019-12-30 12:00:00",15.90,15.97,15.97,15.90,367654
"2019-12-30 12:15:00",15.96,15.91,15.97,15.89,459507
"2019-12-30 12:30:00",15.91,15.92,15.95,15.90,420426
"2019-12-30 12:45:00",15.93,15.92,15.94,15.91,323107
"2019-12-30 13:00:00",15.92,15.91,15.93,15.90,335952
"2019-12-30 13:15:00",15.91,15.91,15.92,15.89,232566
"2019-12-30 13:30:00",15.91,15.92,15.94,15.90,556588
"2019-12-30 13:45:00",15.92,15.95,15.95,15.87,505675
"2019-12-30 14:00:00",15.94,15.94,15.96,15.91,367408
"2019-12-30 14:15:00",15.94,15.93,15.94,15.91,340974
"2019-12-30 14:30:00",15.92,15.88,15.92,15.88,234765
"2019-12-30 14:45:00",15.89,15.88,15.90,15.86,201491
"2019-12-30 15:00:00",15.87,15.90,15.90,15.85,241153
"2019-12-30 15:15:00",15.90,15.89,15.92,15.88,328258
"2019-12-30 15:30:00",15.89,15.90,15.91,15.88,497481
"2019-12-30 15:45:00",15.90,15.89,15.91,15.85,1255174
"2019-12-31 09:30:00",15.78,16.10,16.11,15.77,1182759
"2019-12-31 09:45:00",16.10,16.13,16.15,16.07,1046801
"2019-12-31 10:00:00",16.13,16.25,16.25,16.13,1223425
"2019-12-31 10:15:00",16.25,16.20,16.28,16.18,993921
"2019-12-31 10:30:00",16.21,16.23,16.26,16.20,546831
"2019-12-31 10:45:00",16.22,16.25,16.25,16.17,583231
"2019-12-31 11:00:00",16.25,16.20,16.27,16.19,673993
"2019-12-31 11:15:00",16.20,16.25,16.26,16.20,327172
"2019-12-31 11:30:00",16.26,16.24,16.26,16.19,595126
"2019-12-31 11:45:00",16.24,16.27,16.27,16.22,492267
"2019-12-31 12:00:00",16.26,16.31,16.32,16.22,874843
"2019-12-31 12:15:00",16.31,16.30,16.35,16.28,814351
"2019-12-31 12:30:00",16.31,16.32,16.32,16.26,408744
"2019-12-31 12:45:00",16.32,16.29,16.32,16.26,487585
"2019-12-31 13:00:00",16.29,16.29,16.31,16.28,411367
"2019-12-31 13:15:00",16.28,16.28,16.30,16.27,288197
"2019-12-31 13:30:00",16.28,16.27,16.29,16.25,274278
"2019-12-31 13:45:00",16.26,16.26,16.27,16.26,153214
"2019-12-31 14:00:00",16.26,16.32,16.35,16.26,657447
